2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Enter
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] m_uiPCR7BindingStatus = 3
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] CheckPCR7Stats() Finish, successful
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] Fail because bios does not support WMI ID 0x00060096

2024-07-05 06:06:11; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 06:06:11; INFO; User Session Manager; 12252; 12096] OnSessionChange Start
2024-07-05 06:06:11; ERROR; SoulKey Plugin; 12252; 12524] UserSession:1, OnSessionChange: Event:7
2024-07-05 06:06:11; INFO; User Session Manager; 12252; 12096] OnSessionChange End
2024-07-05 06:06:13; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 06:06:13; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:12:24; INFO; User Session Manager; 12252; 12096] OnDeviceChange Start
2024-07-05 10:12:24; INFO; User Session Manager; 12252; 12096] OnDeviceChange End
2024-07-05 10:12:24; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 10:12:24; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 10:12:24; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 10:12:24; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 10:12:25; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 10:12:25; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-07-05 10:12:25; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before release COM
2024-07-05 10:12:25; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After release COM
2024-07-05 10:12:25; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-07-05 10:12:25; INFO; Utility Plugin; 12252; 12652] Becuase bitlocker status is the same, does not need to notify bios

2024-07-05 10:12:25; INFO; Utility Plugin; 12252; 12652] NotifyBitLockerStatus() Finish
2024-07-05 10:12:25; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:12:25; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:12:25; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:12:25; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:12:25; INFO; Loopback Stream; 12252; 23664] CallLibrary Start
2024-07-05 10:12:25; INFO; Loopback Stream; 12252; 23664] CallLibrary End
2024-07-05 10:12:26; INFO; User Session Manager; 12252; 12096] OnPowerChange Start
2024-07-05 10:12:26; INFO; User Session Manager; 12252; 12096] OnPowerChange End
2024-07-05 10:12:26; CRITICAL; Utility Plugin; 12252; 12652] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-07-05 10:12:26; INFO; Utility Plugin; 12252; 12652] open display notiy bios bitlocker status
2024-07-05 10:12:26; INFO; Utility Plugin; 12252; 12652] Enter NotifyBitLockerStatus()
2024-07-05 10:12:26; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before System Folder
2024-07-05 10:12:26; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-07-05 10:12:26; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-07-05 10:12:26; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Try Get ConversaionStatus
2024-07-05 10:12:26; INFO; Utility Plugin; 12252; 12652] IsBitLockerEnabled: Finish Get ConversaionStatus
